User_ID,User_ID2,Age_Ordinal,Gender_Ordinal,Occupation,City_Category_Ordinal,Marital_Status,Purchase
1000001,1000001,0,6,10,1,0,334093
1000002,1000002,6,13,16,3,0,810472
1000003,1000003,2,13,15,1,0,341635
1000004,1000004,4,13,7,2,1,206468
1000005,1000005,2,13,20,1,1,821001
1000006,1000006,5,6,9,1,0,379930
1000007,1000007,3,13,1,2,1,234668
1000008,1000008,2,13,12,3,1,796593
1000009,1000009,2,13,17,3,0,594099
1000010,1000010,3,6,1,2,1,2169510
1000011,1000011,2,6,1,3,0,557023
1000012,1000012,2,13,12,3,0,120801
1000013,1000013,4,13,1,3,1,713927
1000014,1000014,3,13,0,3,0,127629
1000015,1000015,2,13,7,1,0,1047728
1000016,1000016,3,6,0,3,1,150490
1000017,1000017,5,13,1,3,0,1425995
1000018,1000018,1,6,3,2,0,1979047
1000019,1000019,0,13,10,1,0,1458069
1000020,1000020,2,13,14,1,0,185747
1000021,1000021,1,13,16,2,0,127099
1000022,1000022,1,13,15,1,0,1279914
1000023,1000023,3,13,0,2,1,1670998
1000024,1000024,2,6,7,1,1,720899
1000025,1000025,1,13,4,3,0,534706
1000026,1000026,2,13,7,2,1,1606174
1000027,1000027,2,13,11,3,1,448934
1000028,1000028,2,6,1,3,1,516560
1000029,1000029,3,13,7,3,0,696201
1000030,1000030,3,6,7,3,0,261584
1000031,1000031,6,13,7,3,0,496154
1000032,1000032,2,6,0,3,1,229049
1000033,1000033,4,13,3,1,1,1940418
1000034,1000034,1,6,0,1,0,807983
1000035,1000035,4,13,1,3,1,821303
1000036,1000036,2,13,3,2,0,2316570
1000037,1000037,2,6,9,3,0,248370
1000039,1000039,1,13,4,2,0,382339
1000041,1000041,1,6,4,3,0,146840
1000042,1000042,2,13,8,3,1,1483035
1000043,1000043,2,13,12,1,0,137916
1000044,1000044,4,13,17,2,1,1180380
1000045,1000045,4,6,16,1,1,928494
1000046,1000046,1,13,19,3,0,138729
1000047,1000047,1,13,4,3,1,131303
1000048,1000048,2,13,4,2,1,2788504
1000049,1000049,1,13,12,3,1,732364
1000050,1000050,2,6,2,1,1,198810
1000051,1000051,0,6,10,3,0,200772
1000052,1000052,1,13,4,3,0,523039
1000053,1000053,2,13,0,2,0,4270371
1000054,1000054,5,13,1,3,1,187451
1000055,1000055,3,6,12,2,0,134320
1000056,1000056,3,13,20,3,1,383101
1000057,1000057,1,13,19,3,0,312584
1000058,1000058,2,13,2,2,0,2896836
1000059,1000059,5,6,1,2,1,980118
1000060,1000060,5,13,1,3,1,280029
1000061,1000061,2,13,17,3,0,156360
1000062,1000062,3,6,3,1,0,2513618
1000063,1000063,1,13,4,3,0,553760
1000064,1000064,1,13,1,1,1,210996
1000065,1000065,3,13,12,3,1,892321
1000066,1000066,2,13,18,3,0,225028
1000067,1000067,5,6,5,3,1,352342
1000068,1000068,1,13,4,1,0,328655
1000069,1000069,2,6,1,1,0,316042
1000070,1000070,1,13,4,1,0,213769
1000071,1000071,2,13,14,1,1,157105
1000072,1000072,4,6,0,2,1,228161
1000073,1000073,1,13,4,1,0,1428303
1000074,1000074,3,13,14,1,1,326298
1000075,1000075,0,6,10,3,0,1035584
1000076,1000076,3,13,7,2,1,597730
1000077,1000077,1,13,4,3,0,147847
1000078,1000078,4,6,1,3,1,582902
1000079,1000079,4,6,0,1,0,124538
1000080,1000080,6,13,1,3,1,339364
1000081,1000081,2,6,0,1,1,624777
1000082,1000082,2,13,17,3,1,645708
1000083,1000083,2,6,2,3,0,529959
1000084,1000084,1,13,4,3,0,277125
1000085,1000085,1,13,4,3,0,148849
1000086,1000086,0,6,10,3,0,294063
1000087,1000087,2,13,14,3,0,407327
1000088,1000088,4,6,1,3,1,329348
1000089,1000089,6,6,9,3,1,112276
1000090,1000090,6,13,13,3,0,1310621
1000091,1000091,3,13,7,3,1,211281
1000092,1000092,1,6,4,2,0,1573914
1000093,1000093,2,13,17,2,1,1275642
1000094,1000094,2,13,17,3,0,49288
1000095,1000095,4,13,0,3,1,580306
1000096,1000096,2,6,16,3,1,444238
1000097,1000097,3,6,3,3,0,867399
1000098,1000098,3,6,7,3,1,154510
1000099,1000099,0,6,10,3,0,506439
1000100,1000100,3,13,17,3,0,461945
1000101,1000101,1,6,3,1,0,1138265
1000102,1000102,3,13,19,3,0,640517
1000103,1000103,4,13,7,2,1,1016837
1000104,1000104,2,13,12,3,1,215030
1000105,1000105,4,13,12,3,1,636115
1000106,1000106,3,6,11,3,0,249390
1000107,1000107,4,13,18,3,0,578540
1000108,1000108,2,13,12,3,0,120872
1000109,1000109,4,13,15,3,1,468810
1000110,1000110,2,13,2,2,0,435598
1000111,1000111,3,13,15,3,0,521270
1000112,1000112,2,13,16,3,1,413240
1000113,1000113,1,13,12,3,0,360080
1000114,1000114,2,6,2,3,0,418019
1000116,1000116,2,13,17,3,1,590875
1000117,1000117,2,13,17,1,1,2742646
1000118,1000118,3,13,17,3,0,1301643
1000119,1000119,0,6,10,3,0,420927
1000120,1000120,2,13,11,3,0,344419
1000121,1000121,3,13,7,3,0,586434
1000122,1000122,1,6,4,3,0,271183
1000123,1000123,3,13,9,2,1,3237092
1000124,1000124,6,13,7,3,1,135998
1000125,1000125,4,13,14,2,1,504628
1000126,1000126,1,13,9,2,0,333612
1000127,1000127,4,6,3,3,1,1171261
1000128,1000128,6,13,6,1,1,139414
1000129,1000129,2,13,11,3,0,1254181
1000130,1000130,3,13,17,2,1,1274878
1000131,1000131,1,13,4,3,0,1271991
1000132,1000132,2,13,17,3,0,345438
1000133,1000133,2,6,0,3,1,801864
1000134,1000134,2,13,0,3,1,877630
1000135,1000135,1,13,4,3,1,360650
1000136,1000136,1,13,2,2,0,1562462
1000137,1000137,4,6,6,3,1,1273519
1000138,1000138,1,13,20,3,1,593148
1000139,1000139,2,6,20,3,0,1500574
1000140,1000140,3,6,1,2,0,329084
1000141,1000141,3,13,13,3,1,115058
1000142,1000142,2,13,7,1,0,301459
1000143,1000143,1,13,3,3,0,375743
1000144,1000144,2,13,17,3,1,234047
1000145,1000145,1,13,4,3,0,195522
1000146,1000146,3,6,20,2,1,2257255
1000147,1000147,1,13,4,2,0,1094887
1000148,1000148,5,13,17,2,1,3617294
1000149,1000149,2,13,1,2,1,3775096
1000150,1000150,3,13,7,2,1,1226295
1000151,1000151,2,6,20,1,1,2560797
1000152,1000152,1,13,4,1,0,129138
1000153,1000153,0,13,10,3,0,125304
1000154,1000154,5,13,20,1,1,281466
1000155,1000155,3,13,12,3,1,360236
1000156,1000156,4,6,7,3,1,689084
1000157,1000157,3,13,16,1,0,2228762
1000158,1000158,6,13,7,3,1,185073
1000159,1000159,4,6,0,1,1,224129
1000160,1000160,3,13,7,3,0,84580
1000161,1000161,4,13,16,3,1,1884662
1000162,1000162,1,6,4,3,0,686358
1000163,1000163,1,13,4,1,0,1633731
1000164,1000164,6,6,13,3,0,155793
1000165,1000165,1,13,16,1,0,602989
1000166,1000166,1,13,4,2,1,2073193
1000167,1000167,2,6,11,2,0,187087
1000168,1000168,5,6,0,3,1,134698
1000169,1000169,2,13,7,2,0,2850607
1000170,1000170,2,13,11,3,1,537867
1000171,1000171,5,6,17,2,1,208924
1000172,1000172,2,13,3,3,0,213016
1000173,1000173,2,13,0,2,1,3204716
1000174,1000174,2,13,16,3,0,763377
1000175,1000175,2,6,2,2,0,1459135
1000176,1000176,1,6,3,3,0,319685
1000177,1000177,5,13,1,2,1,390156
1000178,1000178,6,13,17,1,1,540659
1000179,1000179,2,13,0,1,0,486867
1000180,1000180,4,13,12,3,0,258592
1000181,1000181,1,13,17,3,0,1788678
1000182,1000182,1,13,4,3,0,490892
1000183,1000183,4,6,1,2,1,660777
1000184,1000184,2,6,0,3,1,572948
1000185,1000185,4,13,0,3,0,435741
1000186,1000186,1,13,5,3,0,652367
1000187,1000187,4,6,1,2,0,2253141
1000188,1000188,6,13,16,3,0,402282
1000189,1000189,1,13,0,2,0,209997
1000190,1000190,2,13,17,1,0,778581
1000191,1000191,1,13,4,3,1,117371
1000192,1000192,1,13,1,2,0,2405988
1000193,1000193,4,6,15,3,1,1192531
1000194,1000194,0,6,10,3,0,261927
1000195,1000195,2,13,12,2,1,4532026
1000196,1000196,3,6,9,3,0,227705
1000197,1000197,1,13,14,1,0,143662
1000198,1000198,2,13,12,1,1,2114755
1000199,1000199,1,13,4,2,0,1825465
1000200,1000200,1,6,4,3,0,129710
1000201,1000201,3,6,2,1,0,465427
1000202,1000202,1,13,4,1,0,3195955
1000203,1000203,1,6,4,2,1,389087
1000204,1000204,2,13,7,2,1,2424484
1000205,1000205,3,13,12,1,0,923914
1000206,1000206,2,13,17,3,0,152712
1000207,1000207,2,13,12,2,1,113722
1000208,1000208,3,13,17,3,1,1110185
1000209,1000209,3,13,1,2,0,86769
1000210,1000210,0,6,10,3,0,883230
1000211,1000211,4,13,17,3,1,224683
1000212,1000212,2,13,16,3,0,679386
1000213,1000213,1,6,4,3,0,98185
1000214,1000214,1,13,20,3,0,751975
1000215,1000215,3,13,14,3,1,237988
1000216,1000216,4,13,13,2,0,3140868
1000217,1000217,1,13,4,1,0,144915
1000218,1000218,3,13,14,3,1,381736
1000219,1000219,2,6,4,1,0,175671
1000220,1000220,2,13,12,1,0,620991
1000221,1000221,2,6,0,2,1,130967
1000222,1000222,2,13,1,1,0,428449
1000223,1000223,2,13,17,2,0,1125900
1000225,1000225,2,13,7,1,0,2483266
1000226,1000226,3,13,1,3,0,93001
1000227,1000227,3,13,20,2,0,165449
1000228,1000228,2,13,15,1,0,233041
1000229,1000229,1,13,10,3,0,910223
1000230,1000230,4,13,1,3,0,1071526
1000231,1000231,2,13,3,1,0,627709
1000232,1000232,2,13,20,1,1,413883
1000233,1000233,4,6,20,3,1,273514
1000234,1000234,3,13,7,3,0,198175
1000235,1000235,2,13,0,2,0,2682668
1000236,1000236,2,13,5,2,0,373171
1000237,1000237,2,13,6,3,1,660317
1000238,1000238,5,6,7,2,0,1188533
1000239,1000239,1,13,19,1,0,373618
1000240,1000240,5,13,17,1,1,854532
1000241,1000241,3,13,20,3,1,335346
1000242,1000242,1,6,4,1,0,1533999
1000243,1000243,2,13,16,3,0,107183
1000244,1000244,5,13,7,2,1,541992
1000245,1000245,3,13,16,2,0,2958852
1000246,1000246,1,6,4,3,0,135040
1000247,1000247,2,13,17,2,0,179969
1000248,1000248,1,13,17,2,1,236168
1000249,1000249,1,6,14,3,0,684804
1000250,1000250,3,13,16,3,0,112588
1000251,1000251,6,13,17,1,1,414208
1000252,1000252,2,13,12,3,0,368795
1000253,1000253,2,6,11,3,0,258950
1000254,1000254,3,13,17,3,0,114234
1000255,1000255,3,13,0,3,1,1455520
1000256,1000256,4,13,16,3,0,860460
1000257,1000257,1,13,18,1,0,445132
1000258,1000258,2,13,7,3,1,783920
1000259,1000259,2,13,1,2,0,853248
1000260,1000260,1,13,19,3,0,1134519
1000261,1000261,2,13,20,1,0,2043759
1000262,1000262,2,6,1,3,0,639825
1000263,1000263,2,6,7,3,0,507106
1000264,1000264,3,13,0,2,1,2115392
1000265,1000265,3,6,7,1,1,414942
1000266,1000266,3,13,11,3,0,310213
1000267,1000267,4,13,12,3,1,590162
1000268,1000268,1,6,12,3,0,1248334
1000269,1000269,2,13,2,1,1,119678
1000270,1000270,5,13,14,2,1,922239
1000271,1000271,1,13,4,3,0,1975959
1000272,1000272,1,13,0,1,0,2852181
1000273,1000273,1,13,4,2,1,1240386
1000274,1000274,1,13,4,1,0,866188
1000275,1000275,2,13,0,3,1,544855
1000276,1000276,4,13,16,3,0,171897
1000277,1000277,3,6,1,3,0,176033
1000278,1000278,4,13,18,3,1,859983
1000279,1000279,2,13,14,3,0,234045
1000280,1000280,5,13,7,3,1,189891
1000281,1000281,3,6,0,1,0,596211
1000282,1000282,2,13,17,3,1,165095
1000283,1000283,2,13,0,2,0,244862
1000284,1000284,2,13,12,2,1,2253516
1000285,1000285,3,6,0,1,0,771976
1000286,1000286,2,13,1,3,0,246138
1000287,1000287,5,13,13,2,1,571098
1000289,1000289,2,6,0,3,0,457657
1000290,1000290,2,6,20,3,0,161040
1000291,1000291,3,13,12,2,0,468257
1000292,1000292,3,13,7,3,1,258693
1000293,1000293,6,13,1,3,1,1246978
1000294,1000294,4,6,9,3,1,127443
1000295,1000295,1,13,0,3,0,1200333
1000296,1000296,5,13,5,3,1,503233
1000297,1000297,1,13,2,3,1,578712
1000298,1000298,1,6,4,3,0,137272
1000299,1000299,2,13,12,3,0,717925
1000300,1000300,2,13,7,2,1,1789852
1000301,1000301,1,13,4,2,0,1969774
1000302,1000302,1,13,4,2,0,3225955
1000303,1000303,2,13,7,3,1,1090742
1000304,1000304,2,13,0,2,0,182842
1000305,1000305,1,6,0,2,1,510332
1000306,1000306,1,13,0,3,0,1181761
1000307,1000307,5,13,16,2,1,1324203
1000308,1000308,2,13,2,1,1,2790537
1000309,1000309,2,13,4,2,0,734933
1000310,1000310,1,6,4,3,0,932125
1000311,1000311,1,13,4,3,1,165653
1000312,1000312,5,6,2,2,0,258132
1000313,1000313,1,6,4,1,0,128572
1000314,1000314,6,6,9,3,0,1483498
1000315,1000315,6,6,1,1,1,84882
1000316,1000316,6,13,13,3,0,555750
1000317,1000317,3,13,7,3,0,120376
1000318,1000318,6,6,13,1,1,121960
1000319,1000319,5,6,6,2,1,3292557
1000320,1000320,3,13,6,3,0,91410
1000321,1000321,1,13,4,2,0,1363801
1000322,1000322,6,13,17,1,1,180252
1000323,1000323,4,13,12,3,0,556238
1000324,1000324,3,13,17,2,1,432511
1000325,1000325,5,6,3,1,0,195135
1000326,1000326,5,13,11,2,1,1774938
1000327,1000327,3,13,18,3,0,1257927
1000328,1000328,3,13,12,3,0,360181
1000329,1000329,3,13,7,1,0,3007097
1000330,1000330,6,13,7,3,0,461751
1000331,1000331,2,13,7,2,0,3269826
1000332,1000332,5,13,1,3,1,411182
1000333,1000333,3,13,2,1,1,867140
1000334,1000334,6,6,2,1,1,328953
1000335,1000335,3,13,18,3,1,775920
1000336,1000336,1,13,0,3,0,745283
1000337,1000337,1,13,19,3,0,1098232
1000338,1000338,3,13,7,1,0,2027171
1000339,1000339,5,13,7,3,1,626114
1000340,1000340,2,6,3,3,1,471450
1000341,1000341,6,6,13,3,1,138007
1000342,1000342,1,13,12,3,0,758556
1000343,1000343,3,6,3,2,0,1664154
1000344,1000344,3,13,14,3,1,531840
1000345,1000345,2,13,12,1,1,154703
1000346,1000346,2,6,0,2,0,1537496
1000347,1000347,6,6,1,1,0,511248
1000348,1000348,5,13,7,2,1,458613
1000349,1000349,0,13,10,3,0,1446070
1000350,1000350,4,13,20,3,0,364420
1000351,1000351,1,13,4,1,0,735489
1000352,1000352,1,13,4,1,0,4355896
1000353,1000353,3,6,7,3,1,170841
1000354,1000354,3,13,1,1,0,281002
1000355,1000355,1,13,3,2,0,2378946
1000356,1000356,6,13,20,3,1,142704
1000357,1000357,1,13,0,1,0,331204
1000359,1000359,2,13,17,2,0,207019
1000360,1000360,3,13,17,3,0,421379
1000361,1000361,2,6,14,2,0,77684
1000362,1000362,3,13,20,2,0,248504
1000363,1000363,1,13,10,2,1,308134
1000364,1000364,3,6,1,3,0,94626
1000365,1000365,1,6,4,1,0,184104
1000366,1000366,5,13,15,2,1,1410122
1000368,1000368,2,13,0,3,0,2040034
1000369,1000369,3,13,1,2,0,323035
1000370,1000370,1,13,17,3,0,383580
1000371,1000371,1,13,4,2,0,437078
1000372,1000372,1,6,4,3,0,1059484
1000373,1000373,2,6,2,3,1,209633
1000374,1000374,3,6,14,3,0,403295
1000375,1000375,2,13,2,2,0,299011
1000376,1000376,3,13,1,3,1,534975
1000377,1000377,2,13,17,2,0,920708
1000378,1000378,1,6,0,1,1,183133
1000379,1000379,3,6,1,3,0,382811
1000380,1000380,2,13,2,3,0,729418
1000381,1000381,3,13,17,3,0,259681
1000382,1000382,3,6,20,2,1,296761
1000383,1000383,2,6,7,1,1,117923
1000384,1000384,2,13,11,2,1,169138
1000385,1000385,2,13,6,3,0,840720
1000386,1000386,2,13,0,1,1,1161267
1000387,1000387,3,6,7,3,0,365501
1000388,1000388,2,6,0,2,1,283740
1000389,1000389,2,13,6,3,0,400856
1000390,1000390,2,13,4,1,0,946897
1000391,1000391,4,13,11,3,1,431481
1000392,1000392,1,13,7,1,0,2219577
1000393,1000393,3,13,17,3,0,335223
1000394,1000394,1,13,0,3,0,231657
1000395,1000395,1,13,5,1,0,65645
1000396,1000396,2,13,1,3,0,689518
1000397,1000397,3,13,17,2,0,234870
1000398,1000398,2,13,17,2,1,1257763
1000399,1000399,3,6,6,2,1,125042
1000400,1000400,1,6,3,3,1,223635
1000401,1000401,1,13,0,2,0,415368
1000402,1000402,2,13,11,2,1,1369174
1000403,1000403,1,13,4,1,0,1694874
1000404,1000404,1,13,4,2,0,291660
1000405,1000405,6,13,1,3,0,202171
1000406,1000406,2,13,20,1,0,721522
1000407,1000407,1,13,17,3,0,162159
1000408,1000408,2,13,11,1,0,1010392
1000409,1000409,1,13,12,2,0,1596446
1000410,1000410,2,6,1,2,0,458754
1000411,1000411,4,6,1,2,1,2617687
1000412,1000412,3,13,15,1,1,2709935
1000413,1000413,2,13,11,3,0,508477
1000414,1000414,2,13,0,3,0,283915
1000415,1000415,3,6,0,1,1,1397756
1000416,1000416,4,13,14,3,1,352175
1000417,1000417,2,6,0,3,1,171935
1000418,1000418,2,6,3,2,1,392719
1000419,1000419,1,13,3,3,0,642680
1000420,1000420,3,13,1,1,0,417124
1000421,1000421,4,6,3,1,1,133339
1000422,1000422,6,13,17,1,0,312281
1000423,1000423,1,13,4,1,0,243279
1000424,1000424,2,13,17,1,0,6573609
1000425,1000425,2,13,12,2,1,980360
1000426,1000426,1,13,4,1,1,1530944
1000427,1000427,3,13,12,1,0,127915
1000429,1000429,1,13,0,3,0,2001630
1000430,1000430,1,6,10,3,1,260170
1000431,1000431,1,13,10,2,0,442275
1000432,1000432,4,13,16,3,1,238459
1000433,1000433,5,13,6,3,1,188322
1000434,1000434,4,6,3,3,0,222709
1000435,1000435,2,13,7,1,0,939617
1000436,1000436,1,13,4,3,0,797161
1000437,1000437,3,13,17,3,1,355512
1000438,1000438,1,13,11,1,0,2792161
1000439,1000439,3,13,14,2,1,550292
1000440,1000440,6,13,1,3,1,155137
1000441,1000441,3,13,1,2,0,367148
1000442,1000442,2,13,1,1,0,2258560
1000443,1000443,2,13,3,1,1,249879
1000444,1000444,6,13,0,1,0,624479
1000445,1000445,4,13,12,1,1,1584585
1000446,1000446,5,6,0,3,0,327057
1000447,1000447,4,6,11,1,0,167098
1000448,1000448,2,13,17,3,0,100961
1000449,1000449,2,13,7,3,0,299601
1000450,1000450,4,13,1,3,1,256616
1000451,1000451,6,13,13,3,1,1175712
1000452,1000452,5,13,17,1,1,860396
1000453,1000453,1,13,4,2,0,2249709
1000454,1000454,2,13,20,3,1,1163925
1000455,1000455,3,6,2,1,0,139887
1000456,1000456,3,13,0,1,0,925531
1000457,1000457,1,13,4,2,0,1259025
1000458,1000458,5,13,16,3,1,232568
1000459,1000459,1,6,4,1,0,130631
1000460,1000460,4,13,18,3,0,134146
1000461,1000461,5,13,7,2,0,2533900
1000462,1000462,1,13,16,3,1,954229
1000463,1000463,2,13,7,1,1,400469
1000464,1000464,1,6,4,1,0,509284
1000465,1000465,1,13,19,3,0,130271
1000466,1000466,2,13,5,1,0,1121881
1000467,1000467,3,6,3,2,1,276787
1000468,1000468,0,6,10,2,0,162635
1000469,1000469,3,13,6,2,1,296089
1000470,1000470,0,6,10,3,0,217114
1000471,1000471,3,13,7,1,0,696651
1000473,1000473,1,6,4,1,0,274284
1000474,1000474,2,13,17,2,0,1533961
1000476,1000476,3,13,0,2,0,2418970
1000477,1000477,3,13,14,1,0,1455400
1000478,1000478,5,13,16,1,0,246159
1000479,1000479,2,13,12,3,0,528144
1000480,1000480,1,6,4,3,0,510684
1000481,1000481,4,13,7,3,0,970092
1000482,1000482,2,13,14,1,1,3539411
1000483,1000483,1,13,12,1,0,155651
1000484,1000484,0,6,10,1,0,165929
1000485,1000485,6,13,7,3,1,224072
1000486,1000486,6,13,0,3,0,223784
1000487,1000487,3,6,17,2,1,212744
1000488,1000488,2,13,12,2,1,149115
1000489,1000489,1,13,4,1,1,110421
1000490,1000490,0,13,10,2,0,429694
1000491,1000491,1,13,4,3,0,98030
1000492,1000492,2,13,12,1,0,111812
1000493,1000493,5,13,7,3,1,847881
1000495,1000495,1,13,10,1,0,288597
1000496,1000496,1,13,4,1,0,885377
1000497,1000497,2,6,17,3,0,147656
1000498,1000498,3,13,17,1,0,798943
1000499,1000499,2,6,1,1,0,1039288
1000500,1000500,1,6,2,1,0,351719
1000501,1000501,2,13,2,3,1,323774
1000502,1000502,3,13,6,2,0,133861
1000503,1000503,3,13,11,3,1,166198
1000504,1000504,2,13,2,3,0,542744
1000505,1000505,3,13,17,3,1,700756
1000506,1000506,2,13,16,3,0,456450
1000507,1000507,2,6,0,1,1,182769
1000508,1000508,2,13,12,2,0,867619
1000509,1000509,2,13,2,1,1,3700604
1000510,1000510,1,13,12,3,0,772191
1000511,1000511,4,6,4,3,1,129493
1000512,1000512,3,13,0,3,1,158309
1000513,1000513,2,13,0,3,0,649629
1000514,1000514,2,13,2,1,1,611777
1000515,1000515,2,13,1,1,1,816456
1000516,1000516,6,6,14,3,0,1211395
1000517,1000517,2,6,14,1,0,753403
1000518,1000518,3,6,12,3,0,1371614
1000519,1000519,3,6,14,3,1,217590
1000520,1000520,3,6,20,1,0,1525678
1000521,1000521,6,13,7,1,0,239839
1000522,1000522,2,13,12,3,0,354616
1000523,1000523,5,13,7,1,1,594269
1000524,1000524,1,13,0,1,0,5212846
1000525,1000525,3,13,6,3,0,245538
1000526,1000526,4,13,17,3,1,429409
1000527,1000527,2,6,2,2,1,86847
1000529,1000529,3,13,12,3,0,741420
1000530,1000530,2,13,2,1,1,721232
1000531,1000531,1,6,14,2,0,3662030
1000532,1000532,2,13,7,3,0,188041
1000533,1000533,2,13,12,1,0,2940570
1000534,1000534,2,13,15,2,1,543185
1000535,1000535,3,13,6,2,1,100277
1000536,1000536,2,13,20,3,0,1407088
